countrynewwb;codewb;year;pop_adult;regionwb;incomegroup;group;group2;account;fiaccount;mobileaccount;borrow_money;dig_acc;saved fo old age;borrowed from fam and fri;envio remesa nacional;recibio_remesa_nacional;recibio_remesa_digital;recibio_transferencia_gobierno;recibio_pension_publica;retiro_dinero_cuenta;cuenta_inactiva;pagos_comercio_digital;ahorro_total
Argentina;ARG;2014;31872846;Latin America & Caribbean (excluding high income);Upper middle income;all;all;501972945;501972945;0.004323196;337041815;NA;NA;60089947;NA;NA;NA;145712476;NA;265757012;9130973;NA;231395874
Belize;BLZ;2014;228016;Latin America & Caribbean (excluding high income);Upper middle income;all;all;482092497;482092497;NA;551699989;NA;NA;3156189;NA;NA;NA;135859195;NA;107171557;94753497;NA;595080083
Bolivia;BOL;2014;7120716;Latin America & Caribbean (excluding high income);Lower middle income;all;all;417967196;407108203;0.027771435;370549839;NA;NA;131755214;NA;NA;NA;200056014;NA;62099768;22488036;NA;644484146
Brazil;BRA;2014;152293155;Latin America & Caribbean (excluding high income);Upper middle income;all;all;681231585;681231585;0.008577455;402734976;NA;NA;59130085;NA;NA;NA;150165005;NA;320498853;21819075;NA;279722786
Canada;CAN;2014;29372810;High income;High income;all;all;99103328;99103328;NA;850342948;NA;NA;170739148;NA;NA;NA;352908669;NA;770743934;3201913;NA;822096845
Chile;CHL;2014;14064832;High income;High income;all;all;632588778;632107562;0.037898508;397889841;NA;NA;63275528;NA;NA;NA;185277094;NA;280898155;41553186;NA;359495015
Colombia;COL;2014;34309704;Latin America & Caribbean (excluding high income);Upper middle income;all;all;389990168;383533374;0.02212442;431373537;NA;NA;15872436;NA;NA;NA;86920738;NA;13715558;28348433;NA;438633661
Costa Rica;CRI;2014;3611461;Latin America & Caribbean (excluding high income);Upper middle income;all;all;645530648;645530648;NA;441616551;NA;NA;143338916;NA;NA;NA;95901299;NA;14489787;28855347;NA;593616639
Dominican Republic;DOM;2014;7152325;Latin America & Caribbean (excluding high income);Upper middle income;all;all;540909896;53986396;0.023180556;558611544;NA;NA;221592605;NA;NA;NA;125363344;NA;108753225;397771;NA;572579735
Ecuador;ECU;2014;11054660;Latin America & Caribbean (excluding high income);Upper middle income;all;all;462124251;462124251;NA;256366685;NA;NA;61008432;NA;NA;NA;60299484;NA;56542971;36245945;NA;320846568
El Salvador;SLV;2014;4304307;Latin America & Caribbean (excluding high income);Lower middle income;all;all;367197118;346347202;0.045567878;456650879;NA;NA;123633708;NA;NA;NA;167967035;NA;79962239;15126488;NA;575405368
Guatemala;GTM;2014;9616393;Latin America & Caribbean (excluding high income);Upper middle income;all;all;413492185;407867284;0.017702767;452081432;NA;NA;195388276;NA;NA;NA;81719434;NA;63035388;47040806;NA;557452415
Haiti;HTI;2014;6636287;Latin America & Caribbean (excluding high income);Lower middle income;all;all;188586778;174960995;0.037826898;476573556;NA;NA;270011953;NA;NA;NA;73567045;NA;37752483;37007426;NA;448268358
Honduras;HND;2014;5672647;Latin America & Caribbean (excluding high income);Lower middle income;all;all;314863604;300436578;0.034087009;430918852;NA;NA;183012568;NA;NA;NA;91986861;NA;60786165;31448719;NA;396811491
Jamaica;JAM;2014;2096466;Latin America & Caribbean (excluding high income);Upper middle income;all;all;78458207;783459619;0.009165031;490412823;NA;NA;29587661;NA;NA;NA;114648759;NA;137809224;131662251;NA;742741419
Mexico;MEX;2014;84399247;Latin America & Caribbean (excluding high income);Upper middle income;all;all;391408432;386953463;0.034240299;53029688;NA;NA;260315751;NA;NA;NA;180585982;NA;17829668;16235014;NA;583820777
Nicaragua;NIC;2014;4012287;Latin America & Caribbean (excluding high income);Lower middle income;all;all;19438484;188548055;0.010537743;430886812;NA;NA;167316171;NA;NA;NA;68954064;NA;35057938;20152298;NA;513601648
Panama;PAN;2014;2737867;High income;High income;all;all;436621402;43403554;0.015579504;504925379;NA;NA;226121563;NA;NA;NA;119847029;NA;976158;39040094;NA;624865535
Peru;PER;2014;21413567;Latin America & Caribbean (excluding high income);Upper middle income;all;all;28975232;28975232;0;322440467;NA;NA;104345281;NA;NA;NA;46256586;NA;116569753;1399916;NA;393173335
Puerto Rico;PRI;2014;2955855;High income;High income;all;all;697352646;697352646;NA;381427055;NA;NA;107569566;NA;NA;NA;14664964;NA;23940398;16585593;NA;442193803
United States;USA;2014;254715188;High income;High income;all;all;935838008;935838008;NA;773749831;NA;NA;198120686;NA;NA;NA;233891653;NA;601327568;3750235;NA;7563957
Uruguay;URY;2014;2625287;High income;High income;all;all;455857273;453554098;0.012334332;555599889;NA;NA;80175993;NA;NA;NA;140037286;NA;398066595;11964674;NA;38519835
